Dataset IEMOCAP 



⚙️ Scénario 1 : Test des modèles de base


La  perfomance de  model avec base  model  LSTM :

epoch: 54, train_loss: 0.6197, train_acc: 80.74, train_fscore: 80.37, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1089, test_acc: 54.47, test_fscore: 53.9, time: 5.07 sec
epoch: 55, train_loss: 0.607, train_acc: 81.34, train_fscore: 81.02, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1097, test_acc: 54.59, test_fscore: 54.05, time: 4.5 sec
epoch: 56, train_loss: 0.5947, train_acc: 81.96, train_fscore: 81.67, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1113, test_acc: 54.59, test_fscore: 54.04, time: 5.17 sec
epoch: 57, train_loss: 0.5827, train_acc: 82.41, train_fscore: 82.13, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.112, test_acc: 55.14, test_fscore: 54.59, time: 4.7 sec
epoch: 58, train_loss: 0.5712, train_acc: 82.69, train_fscore: 82.44, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1131, test_acc: 55.33, test_fscore: 54.77, time: 4.87 sec
epoch: 59, train_loss: 0.5601, train_acc: 83.08, train_fscore: 82.86, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1149, test_acc: 55.45, test_fscore: 54.97, time: 4.87 sec
epoch: 60, train_loss: 0.5494, train_acc: 83.34, train_fscore: 83.14, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1171, test_acc: 55.64, test_fscore: 55.18, time: 4.96 sec
Test performance..
F-Score: 55.18


La  perfomance de  model avec base  model  GRU  :      

epoch: 1, train_loss: 1.7895, train_acc: 18.5, train_fscore: 12.25, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.7789, test_acc: 27.73, test_fscore: 16.49, time: 4.91 sec
epoch: 2, train_loss: 1.7585, train_acc: 28.88, train_fscore: 23.02, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.7583, test_acc: 38.82, test_fscore: 29.65, time: 4.35 sec
